Res, CYS, CSD, CSO, OCS 
ALA, 1697, 69, 88, 1 
ARG, 1259, 142, 125, 411 
ASN, 629, 74, 98, 46 
ASP, 630, 19, 84, 21 
CYS, 2829, 182, 243, 12 
GLN, 665, 21, 72, 30 
GLU, 895, 122, 179, 23 
GLY, 1718, 89, 214, 236 
HIS, 701, 233, 391, 153 
ILE, 1215, 32, 132, 6 
LEU, 1484, 151, 164, 10 
LYS, 369, 24, 68, 1 
MET, 1039, 8, 43, 3 
PHE, 1385, 48, 50, 21 
PRO, 918, 114, 148, 34 
SER, 1408, 213, 296, 45 
THR, 1639, 183, 195, 442 
TRP, 520, 11, 21, 6 
TYR, 1099, 141, 127, 19 
VAL, 2173, 19, 157, 10 
HOH, 3537, 510, 1227, 269 
CSD, 183, 50, 92, 0 
CSO, 247, 92, 11, 0 
OCS, 24, 0, 0, 3 
CSX, 8, 3, 0, 0 
